Window_Num,Num_Packets,Avg_Length,Eth_Src,Eth_Dst,stNum_Change,sqNum_Reset,ConfRev_Change,Boolean_Data_Change,Attack
10621,32,257.38,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10622,33,253.6,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10623,32,257.38,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10624,33,253.6,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10625,32,257.38,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10626,33,253.6,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10627,32,257.38,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10628,33,253.6,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10629,32,257.47,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10630,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10631,35,254.8,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",1,1,0,1,0
10632,36,249.5,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",1,1,0,1,0
10633,32,257.5,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10634,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10635,32,257.54,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10636,32,255.22,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10637,32,257.54,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10638,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10639,31,256.26,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,1,0,0,0
10640,36,251.56,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",1,1,0,1,0
10641,32,257.54,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10642,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10643,32,257.54,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10644,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10645,32,257.54,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10646,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10647,32,257.54,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
10648,33,253.76,"['00:30:a7:15:ab:f9', '00:30:a7:2c:9f:ab', '00:30:a7:2c:a0:59', '00:30:a7:38:43:96', '00:30:a7:33:20:7b', '00:30:a7:2c:a0:4e', '00:50:c2:4f:9d:cd']","['01:0c:cd:01:00:22', '01:0c:cd:01:00:13', '01:0c:cd:01:00:03', '01:0c:cd:01:00:10', '01:0c:cd:01:00:12', '01:0c:cd:01:00:04', '01:0c:cd:01:00:14']",0,0,0,0,0
