Window_Num,Num_Packets,Avg_DNP3_Length,IP_Port_Src,IP_Port_Dst,Function_Codes,IIN_Val_Change,IIN_Bits_Set,Data_Object_Change,Attack
10621,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10622,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10623,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0,0
10624,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10625,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10626,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0,0
10627,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10628,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10629,8,29.12,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0]",0,[],0,0
10630,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10631,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10632,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0,0
10633,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10634,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10635,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0,0
10636,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10637,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10638,6,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]",0,[],0,0
10639,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
10640,4,13.5,"['192.168.1.70:49127', '192.168.1.74:20000']","['192.168.1.70:49127', '192.168.1.74:20000']","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",0,[],0,0
