No.,Length,StNum,SqNum,Boolean,hour,minute,second,microsecond,Source_eth1,Source_eth2,Source_eth3,Source_eth4,Source_eth5,Source_eth6,Destination_eth1,Destination_eth2,Destination_eth3,Destination_eth4,Destination_eth5,Destination_eth6,protocol,frame_number,frame_length,dnp3_length,dfc_bit,link_src,link_dst,FIR,FIN,SEQ,iin_device_restart,iin_device_trouble,iin_digital_outputs_in_local,iin_time_sync_required,iin_class3_data_available,iin_class2_data_available,iin_class1_data_available,iin_broadcast_msg_rx,iin_configuration_corrupt,iin_operation_already_executing,iin_event_buffer_overflow,iin_parameters_invalid_or_out_of_range,iin_requested_objects_unknown,iin_function_code_not_implemented,source_port,source_ip1,source_ip2,source_ip3,source_ip4,destination_port,destination_ip1,destination_ip2,destination_ip3,destination_ip4,primary_func_1,primary_func_4,primary_func_14,primary_func_15,function_0,function_1,function_2,function_3,function_4,function_5,function_6,function_7,function_8,function_9,function_10,function_11,function_12,function_13,function_14,function_129,function_130
91,1,514,135,FALSE,11,18,0,212923,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,0,816002,,,,,,,,,,,,,DNP3,491,0.098901099,0.111111111,0,70,72,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,0,826565,,,,,,,,,,,,,DNP3,493,0.021978022,0.024691358,0,72,70,1,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
92,0,15,1272228,FALSE,11,18,0,915565,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,0.954545455,514,136,FALSE,11,18,1,213734,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,15,1272229,FALSE,11,18,1,917581,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,0.954545455,514,137,FALSE,11,18,2,213331,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,2,828987,,,,,,,,,,,,,DNP3,501,0.098901099,0.111111111,0,70,72,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,2,847545,,,,,,,,,,,,,DNP3,503,0.021978022,0.024691358,0,72,70,1,1,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
101,0,15,1272230,FALSE,11,18,2,920245,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,0.954545455,514,138,FALSE,11,18,3,213734,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,0,15,1272231,FALSE,11,18,3,924885,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,0.954545455,514,139,FALSE,11,18,4,217509,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,4,842060,,,,,,,,,,,,,DNP3,511,0.098901099,0.111111111,0,70,72,1,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,4,845035,,,,,,,,,,,,,DNP3,513,0.021978022,0.024691358,0,72,70,1,1,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
105,0,15,1272232,FALSE,11,18,4,928585,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,0.954545455,514,140,FALSE,11,18,5,221612,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,0,15,1272233,FALSE,11,18,5,933118,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,0.954545455,514,141,FALSE,11,18,6,221732,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,6,855005,,,,,,,,,,,,,DNP3,521,0.098901099,0.111111111,0,70,72,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,6,857896,,,,,,,,,,,,,DNP3,523,0.021978022,0.024691358,0,72,70,1,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
109,0,15,1272234,FALSE,11,18,6,936837,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,0.954545455,514,142,FALSE,11,18,7,225775,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,0,15,1272235,FALSE,11,18,7,941564,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,0.954545455,514,143,FALSE,11,18,8,230003,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,8,868013,,,,,,,,,,,,,DNP3,529,0.098901099,0.111111111,0,70,72,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,8,871396,,,,,,,,,,,,,DNP3,531,0.021978022,0.024691358,0,72,70,1,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,0,15,1272236,FALSE,11,18,8,944866,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,0.954545455,514,144,FALSE,11,18,9,233866,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0.909090909,515,0,TRUE,11,18,9,775783,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
